Sample	0h	6h	3d	7d	11d
SMED30009765	4.64166	4.81999	3.81405	4.55604	4.62059
SMED30009767	19.3566	20.241	22.5141	27.4746	22.9236
SMED30009769	18.6712	11.9517	13.1992	11.8756	12.2785
SMED30009776	44.3257	23.0854	39.15	31.0615	43.6957
SMED30009789	7.54239	11.9765	11.3479	13.9983	13.6039
SMED30009791	12.5594	13.2089	15.21	20.2342	17.5628
SMED30009793	4.07359	6.2294	6.72559	6.48108	7.64915
SMED30009794	6.6498	11.5199	13.1612	14.3361	14.7323
SMED30009797	2.4979	2.44848	2.06917	1.41799	1.96321
SMED30009801	6.37545	6.31748	5.61787	5.63309	4.53537
SMED30009804	29.8205	35.5703	40.0091	47.1301	46.858
SMED30009816	19.759	19.4476	17.173	22.8823	21.8925
SMED30009820	11.2113	10.7167	12.2626	16.0979	12.6774
SMED30009844	17.0261	16.8041	30.6844	15.7168	17.0438
SMED30009845	10.7632	14.2573	9.81854	16.1709	15.9375
SMED30009853	53.2325	28.9052	35.0953	33.9611	33.5127
SMED30009857	8.80648	9.5022	9.00598	14.5549	12.1608
SMED30009860	18.9461	22.1106	23.1053	29.0556	27.9183
SMED30009863	7.88245	11.3058	11.7879	9.47983	11.0794
SMED30009864	19.2996	19.8443	21.0387	22.8444	22.1272
SMED30009873	5.16725	3.86496	4.71639	3.52359	4.18878
SMED30009878	2.14359	2.07216	1.88906	2.26467	2.22507
SMED30009881	14.4318	13.4066	18.1772	17.7864	15.8088
SMED30009886	30.2964	43.1798	6.10972	33.2122	7.32783
SMED30009906	17.7627	18.3252	16.6652	18.3681	19.6112
SMED30009910	19.3575	13.3687	13.7424	21.0027	11.7895
SMED30009911	7.30034	10.4783	10.1117	11.471	11.2402
SMED30009928	13.458	14.5814	16.0289	16.2954	15.5452
SMED30009943	5.16045	4.62085	4.70173	5.5825	6.13783
SMED30009956	21.7741	13.8712	95.8978	95.0611	42.1468
SMED30009962	23.2313	23.9007	9.41826	26.3494	26.6371
SMED30009971	11.4144	13.5861	18.3302	23.5635	27.8095
SMED30009973	11.1446	9.11364	9.26495	14.595	10.8891
SMED30009975	7.27109	7.14754	7.91452	10.5667	9.65831
SMED30009981	8.02088	8.963	10.3202	9.90397	9.84242
SMED30009990	4.73474	4.79338	4.18476	4.8832	5.18884
SMED30009999	3.31242	5.98099	4.23164	8.06482	7.71022
SMED30010011	4.07965	6.94994	2.30268	7.40666	6.95051
SMED30010017	4.19535	4.3242	9.32894	6.43465	5.23561
SMED30010035	6.98603	7.51875	7.75825	6.73151	7.40612
SMED30010044	7.01969	8.87458	11.284	11.6636	14.6926
SMED30010048	8.31786	7.18672	8.25752	7.37101	5.84356
SMED30010050	11.3611	12.1779	12.8694	11.8781	6.5254
SMED30010053	8.81351	9.41461	12.4746	14.5356	12.4132
SMED30010054	18.8968	14.8816	16.0887	19.2749	16.516
SMED30010061	7.24097	7.16483	8.08291	8.04839	7.58176
SMED30010073	10.4547	11.0646	10.264	12.6679	11.4094
SMED30010074	7.23243	7.39194	8.61426	6.88991	7.71033
SMED30010084	27.646	34.7607	46.6191	34.5149	37.1811
SMED30010086	19.3831	23.8478	24.6324	25.9182	27.2063
SMED30010089	17.3343	14.7919	24.2544	10.9189	9.97371
SMED30010096	25.9477	21.0243	21.7848	20.5063	3.75111
SMED30010098	7.40631	8.68236	10.4091	13.2484	12.0319
SMED30010101	8.88456	6.25111	7.80051	9.33574	8.36703
SMED30010103	14.9862	15.3292	14.9632	12.0968	11.0939
SMED30010111	13.1892	13.0227	10.4967	9.02352	9.49298
SMED30010115	7.64445	7.0194	8.12711	8.90193	9.52452
SMED30010117	10.4635	13.6559	17.8853	15.1685	17.7376
SMED30010118	18.8358	18.4046	24.9417	31.3166	27.438
SMED30010122	9.29445	8.68069	12.4886	5.98899	10.3584
SMED30010126	24.5173	28.4855	27.969	28.1072	29.5047
SMED30010128	32.5293	41.8335	46.2291	46.6945	53.8315
SMED30010131	24.8192	63.2342	23.9001	51.7114	65.1775
SMED30010135	11.3919	13.2191	17.368	20.1913	19.4914
SMED30010139	12.9624	12.5963	17.0974	25.1392	18.4301
SMED30010150	6.7512	7.78443	8.06642	8.34468	7.1097
SMED30010155	10.8866	9.50001	10.4185	15.3769	12.4437
SMED30010160	9.41842	8.35367	11.1983	12.888	9.67384
SMED30010163	4.86315	24.8218	14.2051	14.3414	9.84915
SMED30010164	7.50142	6.51428	10.8181	9.79781	10.8063
SMED30010176	8.1437	10.312	11.3634	13.8888	13.5319
SMED30010181	16.9049	27.8647	28.253	38.0214	33.8597
SMED30010182	6.88635	5.64893	7.18647	6.34053	8.00723
SMED30010183	4.70133	14.5931	14.6661	12.34	3.40465
SMED30010202	9.79373	12.9514	19.8795	16.957	19.6392
SMED30010203	21.765	22.4218	25.489	27.0378	26.1399
SMED30010208	4.00784	4.28779	4.24751	5.09564	3.88765
SMED30010212	19.5462	22.0134	10.7027	10.3723	15.0361
SMED30010221	7.98961	7.61315	7.71326	9.00586	8.2385
SMED30010227	13.7522	11.9553	11.6697	13.8373	10.5775
SMED30010236	35.594	35.9692	42.7609	38.3796	47.4348
