Sample	0h	6h	3d	7d	11d
SMED30003772	0.308145	0.376217	0.326743	0.539609	0.528219
SMED30003773	0.737446	1.34526	1.44679	0.410066	0.49012
SMED30003774	0	0.0100759	0	0	0
SMED30003775	0.605425	0.508067	0.69445	1.04173	1.07001
SMED30003776	0.0336137	0.0918067	0.0654798	0.101281	0
SMED30003777	6.58337	5.16296	1.6617	1.31442	4.24056
SMED30003778	0.943994	1.16955	1.27647	1.06383	1.2684
SMED30003779	0.00301555	0.0049302	0	0	0
SMED30003780	13.0437	12.9314	10.8783	10.1498	10.4512
SMED30003781	0.686155	0.738	0.770981	0.737029	0.663197
SMED30003782	0.490469	0.525782	1.12737	0.752109	0.522862
SMED30003783	0.267504	0.483624	1.46481	1.28484	0.896974
SMED30003784	0	0	0	0.00874233	0
SMED30003785	0.179053	0.257673	0.281633	0.36858	0.213289
SMED30003786	1.14753	1.08182	1.45774	1.04168	0.958657
SMED30003787	0.628139	0.91783	0.997421	0.581312	0.813698
SMED30003788	52.3993	55.3718	47.1202	47.7959	49.0758
SMED30003789	9.19746	9.86764	12.3136	13.6068	13.062
SMED30003790	0.241236	0.162813	0.313846	0.156589	0.255979
SMED30003791	1.97369	2.10144	1.77361	1.74446	2.10606
SMED30003792	0.181104	0.124418	0.305738	0.145558	0.102185
SMED30003793	10.1437	10.6668	9.20842	10.1244	10.2306
SMED30003794	0.0304232	0	0.053013	0.108464	0.054986
SMED30003795	0.476416	0.511957	0.906501	0.96004	0.952999
SMED30003796	36.1981	35.4061	35.8641	28.4033	32.7556
SMED30003797	0.243604	0.373301	0.380748	0.545435	0.514886
SMED30003798	17.6931	15.8913	14.7524	19.0568	16.5066
SMED30003799	0	0	0.0177159	0.0550503	0
SMED30003800	1.54538	1.47457	1.68356	1.64042	1.4545
SMED30003801	0.172773	0.101107	0.127479	0.0652033	0.052387
SMED30003802	0.631853	0.646396	0.896958	0.93437	0.695001
SMED30003803	0.343746	0.133075	0.19211	0.0288901	0.170731
SMED30003804	0.280641	0.280297	0.298081	0.314241	0.267116
SMED30003805	0	0	0	0	0
SMED30003806	3.43598	2.43829	0.578092	0.238687	0.279506
SMED30003807	0.4096	0.341791	0.370911	0.322619	0.561583
SMED30003808	5.45207	5.92228	5.69904	3.88857	4.26668
SMED30003809	176.474	157.292	154.166	67.998	62.7655
SMED30003810	0	0.15765	0.0391313	0.0255143	0
