Sample	0h	6h	12h	1d	2d	3d	5d	7d	9d	11d
SMED30014446	187.854	188.498	139.534	150.359	198.729	240.549	185.126	187.104	153.391	189.581
SMED30014447	39.8125	39.7794	46.993	55.5712	58.6594	57.3844	53.9679	43.3965	45.3715	43.3509
SMED30014448	29.2933	29.9422	23.8503	29.4538	36.4303	38.2721	32.0224	31.0754	28.8587	33.0534
SMED30014449	40.4065	40.789	38.2007	45.132	52.2523	51.567	55.0524	56.7216	56.7117	56.6974
SMED30014450	3.4706	2.46992	2.7385	3.64025	3.26228	3.21129	6.59609	5.54499	6.76989	5.93121
SMED30014451	5.00406	5.85306	4.44641	4.99246	4.70229	5.41269	3.56612	5.34641	3.56194	4.13346
SMED30014452	2.17769	1.62848	1.13794	1.58969	1.90343	2.17183	2.28891	1.89451	2.02781	2.23207
SMED30014453	2.70583	2.36961	1.91961	1.69982	1.66559	1.4622	1.54997	1.74477	1.7044	1.46497
SMED30014454	0.0778456	0.130029	0.0426707	0.0856008	0.0852253	0.157246	0.110019	0.0786761	0.0671685	0.0678903
SMED30014455	26.2096	28.3769	37.4705	37.7353	30.6608	33.8503	34.1911	30.8395	42.3461	39.0154
SMED30014456	83.9044	88.1478	109.052	101.939	90.8461	81.7204	81.8673	74.478	79.695	70.0702
SMED30014457	0.125707	0.177517	0.149329	0.156037	0.123603	0.115077	0.160033	0.136223	0.232645	0.176535
SMED30014458	0.0340711	0	0.053164	0.113633	0.0401277	0.0557987	0.214491	0.0352472	0.105904	0.0779093
SMED30014459	105.96	112.464	142.276	146.942	140.087	120.801	117.054	110.948	113.494	114.19
SMED30014460	27.4627	28.4401	35.7218	33.5512	31.0421	27.7073	28.4827	27.6378	28.3225	25.9495
SMED30014461	1.48734	1.34809	1.02083	0.952256	1.40254	1.16703	1.43755	0.855286	0.969259	0.894903
SMED30014462	0.915591	0.807051	0.370666	0.362184	0.348474	1.09387	0.517193	0.704135	0.416536	0.888559
SMED30014463	11.9928	14.3751	15.6898	16.3907	15.7197	13.93	15.1056	13.2129	14.73	13.9843
SMED30014464	2.63624	2.61015	1.42169	1.35235	1.85453	2.24011	2.26441	2.13467	2.16872	2.07963
SMED30014465	16.4748	17.9903	20.7777	19.3369	14.4649	13.049	15.3591	18.2262	19.774	18.084
SMED30014466	11.8193	11.7936	9.81015	10.2759	12.3261	12.732	11.6818	12.0415	11.5305	12.8864
SMED30014467	1.71531	2.89292	1.11264	1.04945	1.00145	2.51928	1.08565	1.41601	1.33836	1.49939
SMED30014468	0.791333	0.790615	0.517116	0.473293	0.643824	0.770143	0.615046	0.73478	0.593849	0.717557
SMED30014469	120.706	120.532	135.725	186.352	249.498	181.222	204.763	191.762	207.118	195.932
SMED30014470	1.00631	1.16259	1.22798	1.17768	1.19873	1.17292	1.12897	1.43195	1.31379	1.06139
SMED30014471	4.04306	3.94097	3.04798	3.5329	3.31355	3.98919	3.88809	3.66577	3.10486	4.48873
SMED30014472	7.94184	6.66155	6.39057	2.26241	0.774673	0.560167	0.39735	0.313512	0.424686	0.365513
SMED30014473	0.0108144	0.0371258	0.00282428	0.00646329	0.0138921	0.0179768	0.0119022	0.035474	0	0.00463299
SMED30014474	86.2299	85.3617	88.231	97.5623	97.158	91.614	99.4353	98.9642	103.697	98.5308
SMED30014475	0.642132	0.611097	1.02962	0.737873	1.05384	0.881617	0.844936	0.990778	0.998365	0.983891
SMED30014476	12.5183	11.1134	13.9059	15.5095	12.7919	12.6877	15.1678	14.0248	19.2026	15.9662
