p_val avg_logFC pct.1 pct.2 p_val_adj
SMED30003001 9.88564455940271e-53 0.239462263262217 0.156 0.082 2.16673557452989e-48
SMED30030059 1.31324465285185e-52 -0.219299838994312 0.201 0.305 2.8783696301207e-48
SMED30009430 1.51609518110882e-52 -0.244050992911948 0.594 0.685 3.3229774179543e-48
SMED30030357 2.99026277695892e-52 -0.201608738390964 0.131 0.223 6.55405795453857e-48
SMED30031771 4.76262265957951e-52 -0.211308305145151 0.442 0.55 1.04387163452664e-47
SMED30028723 4.83907882470949e-51 0.102746337331838 0.035 0.004 1.06062929679983e-46
SMED30019910 7.11243937385585e-51 0.279304332202341 0.289 0.201 1.55890446196173e-46
SMED30017634 1.32710595754037e-50 -0.200235749434974 0.414 0.526 2.90875083773699e-46
SMED30035950 1.33585571636785e-49 0.0959295200445012 0.033 0.003 2.92792855913505e-45
SMED30016988 9.86524464102455e-49 0.123986099351581 0.043 0.008 2.16226432041976e-44
SMED30020022 2.18914093889744e-48 0.2494914609357 0.183 0.106 4.7981591098754e-44
SMED30005141 7.70554434747825e-48 0.241714952453344 0.169 0.095 1.68890121008028e-43
SMED30027552 2.15606605456497e-47 0.213993893871847 0.132 0.066 4.72566557839551e-43
SMED30034381 2.95442259685732e-47 -0.244137914110636 0.409 0.512 6.47550344779187e-43
SMED30007916 3.3231607407665e-47 0.57401390756248 0.127 0.065 7.28370371161201e-43
SMED30015992 3.81221393420163e-47 0.227636678797217 0.074 0.026 8.35561050098312e-43
SMED30025121 4.45201971572653e-47 -0.161993077028519 0.791 0.847 9.75793681292941e-43
SMED30024706 4.62137905497028e-47 -0.216320637325235 0.337 0.441 1.01291386126839e-42
SMED30012836 7.48606886640745e-47 0.293548053181383 0.297 0.211 1.64079657413919e-42
SMED30007096 1.33090142155621e-46 -0.183313616590006 0.13 0.215 2.9170697357669e-42
SMED30018465 1.59092655650793e-46 -0.191888412462477 0.275 0.381 3.48699282655408e-42
SMED30008349 1.90362413861653e-46 0.178686071789724 0.078 0.029 4.17236338701972e-42
SMED30002501 5.31265822295795e-46 0.0794083523748178 0.027 0.002 1.16442842930792e-41
SMED30001315 6.44011274286195e-46 0.0878595800147599 0.024 0.001 1.41154391098048e-41
SMED30014318 1.62303505311094e-45 -0.163901214899332 0.735 0.807 3.55736822940856e-41
SMED30016201 2.40046456139205e-45 -0.218894032351089 0.445 0.544 5.26133822565909e-41
SMED30015942 4.54753051924192e-45 0.228760968594129 0.667 0.619 9.96727739207444e-41
SMED30019324 1.37986560491133e-44 -0.182391113704454 0.466 0.581 3.02438943284464e-40
SMED30034308 1.3944224972462e-44 0.195062456750899 0.085 0.035 3.05629522946422e-40
SMED30029571 1.57170885862598e-44 -0.188398337199015 0.134 0.217 3.44487147633642e-40
SMED30010375 2.65572099583629e-44 0.107928552243928 0.998 0.999 5.82080927867399e-40
SMED30018243 2.71052912627045e-44 -0.221588100557674 0.178 0.266 5.94093773895957e-40
SMED30016080 4.36266545330474e-44 -0.26966905036222 0.398 0.497 9.56209014055334e-40
SMED30022325 7.4045259224406e-44 0.172000231430675 0.897 0.885 1.62292399168053e-39
SMED30009662 4.42794471013117e-43 0.151401098274453 0.053 0.015 9.7051692156655e-39
