Sample	0h	6h	3d	7d	11d
SMED30024815	0.272757	0.262092	0.276385	0.144188	0.364054
SMED30024816	3.99898	2.95894	2.53231	2.9888	2.9367
SMED30024822	3.73218	4.16357	5.73194	5.91658	7.43677
SMED30024824	62.5655	64.2352	76.9513	82.4552	85.5333
SMED30024834	26.9502	22.8311	29.013	33.6796	34.4236
SMED30024842	0.0396552	0.104801	0	0	0
SMED30024843	4.70687	4.56621	5.78589	6.18666	6.80463
SMED30024846	8.58868	8.08408	8.00664	8.59072	9.18533
SMED30024872	74.4955	75.4162	68.6342	78.4676	74.6669
SMED30024873	0.668378	0.730271	0.745328	0.891864	0.943829
SMED30024878	3.89603	3.6288	4.49414	4.34485	4.29893
SMED30024881	537.081	626.967	500.81	587.4	620.211
SMED30024882	0.452703	0.615978	0.293849	0.682305	0.711864
SMED30024894	124.443	106.855	142.487	171.152	155.115
SMED30024897	1.40008	0.838258	1.73145	1.1614	1.19214
SMED30024899	3.89628	4.51179	6.43915	13.7555	15.0739
SMED30024917	15.5765	16.786	23.3454	25.5867	25.536
SMED30024921	16.1247	17.9517	20.0615	22.4508	22.9457
SMED30024934	15.8834	21.2802	16.424	18.0801	16.9966
SMED30024944	2.24749	2.22636	1.88533	2.7889	2.61306
SMED30024945	0.822554	0.626718	0.637592	1.09034	1.27802
SMED30024988	2.88688	2.55381	2.50935	2.13419	1.64588
SMED30024995	12.656	11.5247	10.5021	11.0482	11.9398
SMED30024999	14.1011	14.7442	18.9852	23.9445	27.1547
SMED30025000	2.38105	2.83366	2.1123	2.24082	2.49629
SMED30025003	8.37038	8.19975	8.98971	10.239	10.3262
SMED30025007	0.314478	0.459268	0.447597	0.570001	0.638209
SMED30025008	7.23329	7.31249	8.59352	9.28914	11.0365
SMED30025018	19.1441	20.1518	19.8761	22.543	24.5132
SMED30025019	20.077	19.2788	19.716	20.5798	20.8246
SMED30025022	0.305027	0.144798	0.134751	0.195132	0.131053
SMED30025041	27.5314	25.2797	32.2811	35.7827	34.1806
SMED30025044	1.11676	0.881633	1.44174	1.61484	1.79749
SMED30025066	4.96217	4.83676	3.79498	3.40976	3.40208
SMED30025071	20.0227	21.6978	22.8436	26.2375	28.3068
SMED30025089	6.64106	4.38107	4.10312	4.5218	3.58471
SMED30025096	1.69689	1.52262	2.11755	2.20272	2.46109
SMED30025097	9.49648	10.2896	11.5031	11.337	11.7731
SMED30025099	13.0203	10.6773	14.3282	12.7669	13.8809
SMED30025101	0.301375	0.338779	0.375878	0.571761	0.519357
SMED30025112	0.770678	0.601708	0.790849	0.845598	1.05938
SMED30025114	0	0.022362	0	0	0
SMED30025118	0.0526127	0.0171689	0.124652	0.186843	0.10489
SMED30025121	590.658	586.928	692.29	766.809	819.848
SMED30025129	0.244518	0.256049	0.508206	0.597254	1.05796
